Tabelle: 12711-0008
Migration between Germany and foreign countries:;;;;;;;;;
Germany, years, nationality, countries of origin /;;;;;;;;;
destination;;;;;;;;;
Migration statistics;;;;;;;;;;;;;;;;;;
Germany;;;;;;;;;;;;;;;;;;
;Germans;;;;;;Foreigners;;;;;;Total;;;;;
;Arrivals from foreign countries;;Departures to foreign countries;;Migration balance;;Arrivals from foreign countries;;Departures to foreign countries;;Migration balance;;Arrivals from foreign countries;;Departures to foreign countries;;Migration balance;
;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number
Italy;2498;e;3435;e;-937;e;17770;e;25144;e;-7374;e;20268;e;28579;e;-8311;e
Latvia;83;e;72;e;11;e;2419;e;1368;e;1051;e;2502;e;1440;e;1062;e
Lithuania;159;e;96;e;63;e;5309;e;2239;e;3070;e;5468;e;2335;e;3133;e
Luxembourg;567;e;828;e;-261;e;1838;e;912;e;926;e;2405;e;1740;e;665;e
Malta;44;e;62;e;-18;e;67;e;51;e;16;e;111;e;113;e;-2;e
Netherlands;3603;e;3404;e;199;e;10302;e;5358;e;4944;e;13905;e;8762;e;5143;e
Austria;4437;e;9314;e;-4877;e;9321;e;8221;e;1100;e;13758;e;17535;e;-3777;e
Poland;12214;e;9229;e;2985;e;146943;e;96262;e;50681;e;159157;e;105491;e;53666;e
Portugal;725;e;946;e;-221;e;4883;e;6303;e;-1420;e;5608;e;7249;e;-1641;e
Romania;514;e;520;e;-6;e;22873;e;19639;e;3234;e;23387;e;20159;e;3228;e
Slovakia;137;e;231;e;-94;e;11714;e;8978;e;2736;e;11851;e;9209;e;2642;e
Sweden;623;e;1422;e;-799;e;2664;e;2146;e;518;e;3287;e;3568;e;-281;e
Spain;5972;e;7317;e;-1345;e;8032;e;8742;e;-710;e;14004;e;16059;e;-2055;e
Czechia;658;e;959;e;-301;e;8609;e;6149;e;2460;e;9267;e;7108;e;2159;e
Hungary;635;e;977;e;-342;e;18546;e;15475;e;3071;e;19181;e;16452;e;2729;e
Cyprus;107;e;145;e;-38;e;173;e;81;e;92;e;280;e;226;e;54;e
2006;;;;;;;;;;;;;;;;;;
Belgium;1799;e;2638;e;-839;e;2316;e;1902;e;414;e;4115;e;4540;e;-425;e
Bulgaria;129;e;179;e;-50;e;7526;e;6973;e;553;e;7655;e;7152;e;503;e
Denmark;482;e;1224;e;-742;e;2081;e;1891;e;190;e;2563;e;3115;e;-552;e
Estonia;44;e;72;e;-28;e;577;e;446;e;131;e;621;e;518;e;103;e
Finland;192;e;368;e;-176;e;1792;e;1778;e;14;e;1984;e;2146;e;-162;e
France;5462;e;7572;e;-2110;e;13633;e;10218;e;3415;e;19095;e;17790;e;1305;e
Croatia;233;e;415;e;-182;e;8310;e;9868;e;-1558;e;8543;e;10283;e;-1740;e
Slovenia;71;e;224;e;-153;e;1086;e;1208;e;-122;e;1157;e;1432;e;-275;e
Greece;768;e;1380;e;-612;e;8189;e;14273;e;-6084;e;8957;e;15653;e;-6696;e
Ireland;632;e;1249;e;-617;e;1091;e;1081;e;10;e;1723;e;2330;e;-607;e
Italy;2480;e;3437;e;-957;e;17650;e;23370;e;-5720;e;20130;e;26807;e;-6677;e
Latvia;68;e;79;e;-11;e;2023;e;1459;e;564;e;2091;e;1538;e;553;e
Lithuania;120;e;101;e;19;e;4806;e;2721;e;2085;e;4926;e;2822;e;2104;e
Luxembourg;609;e;902;e;-293;e;2002;e;962;e;1040;e;2611;e;1864;e;747;e
Malta;56;e;75;e;-19;e;91;e;49;e;42;e;147;e;124;e;23;e
Netherlands;3084;e;3554;e;-470;e;10970;e;5635;e;5335;e;14054;e;9189;e;4865;e
Austria;4889;e;10345;e;-5456;e;9830;e;8259;e;1571;e;14719;e;18604;e;-3885;e
Poland;11900;e;9090;e;2810;e;151743;e;103402;e;48341;e;163643;e;112492;e;51151;e
Portugal;723;e;830;e;-107;e;4917;e;6184;e;-1267;e;5640;e;7014;e;-1374;e
Romania;491;e;582;e;-91;e;23353;e;20273;e;3080;e;23844;e;20855;e;2989;e
Slovakia;155;e;215;e;-60;e;11292;e;9225;e;2067;e;11447;e;9440;e;2007;e
Sweden;612;e;1700;e;-1088;e;2569;e;2234;e;335;e;3181;e;3934;e;-753;e
Spain;6023;e;8149;e;-2126;e;8196;e;8585;e;-389;e;14219;e;16734;e;-2515;e
Czechia;624;e;973;e;-349;e;7844;e;6228;e;1616;e;8468;e;7201;e;1267;e
Hungary;640;e;998;e;-358;e;18634;e;14618;e;4016;e;19274;e;15616;e;3658;e
Cyprus;130;e;160;e;-30;e;139;e;111;e;28;e;269;e;271;e;-2;e
2007;;;;;;;;;;;;;;;;;;
Belgium;1868;e;2593;e;-725;e;2330;e;2123;e;207;e;4198;e;4716;e;-518;e
Bulgaria;198;e;269;e;-71;e;20504;e;8113;e;12391;e;20702;e;8382;e;12320;e
Denmark;589;e;2082;e;-1493;e;2042;e;1932;e;110;e;2631;e;4014;e;-1383;e
Estonia;51;e;66;e;-15;e;675;e;460;e;215;e;726;e;526;e;200;e
Finland;190;e;416;e;-226;e;2060;e;1756;e;304;e;2250;e;2172;e;78;e
France;5851;e;7346;e;-1495;e;13776;e;10565;e;3211;e;19627;e;17911;e;1716;e
Croatia;266;e;497;e;-231;e;8418;e;10113;e;-1695;e;8684;e;10610;e;-1926;e
Slovenia;75;e;200;e;-125;e;1201;e;1257;e;-56;e;1276;e;1457;e;-181;e
Greece;876;e;1524;e;-648;e;8032;e;14074;e;-6042;e;8908;e;15598;e;-6690;e
Ireland;773;e;1376;e;-603;e;1089;e;1162;e;-73;e;1862;e;2538;e;-676;e
Italy;2587;e;3405;e;-818;e;18184;e;22008;e;-3824;e;20771;e;25413;e;-4642;e
Latvia;71;e;110;e;-39;e;1686;e;1329;e;357;e;1757;e;1439;e;318;e
Lithuania;123;e;139;e;-16;e;3901;e;2778;e;1123;e;4024;e;2917;e;1107;e
Luxembourg;703;e;908;e;-205;e;2521;e;1094;e;1427;e;3224;e;2002;e;1222;e
Malta;67;e;80;e;-13;e;84;e;40;e;44;e;151;e;120;e;31;e
Netherlands;3012;e;3697;e;-685;e;11095;e;6374;e;4721;e;14107;e;10071;e;4036;e
Austria;5147;e;11201;e;-6054;e;10596;e;8951;e;1645;e;15743;e;20152;e;-4409;e
Poland;13622;e;10451;e;3171;e;139967;e;110340;e;29627;e;153589;e;120791;e;32798;e
Portugal;753;e;937;e;-184;e;5375;e;6051;e;-676;e;6128;e;6988;e;-860;e
Romania;557;e;764;e;-207;e;42899;e;23290;e;19609;e;43456;e;24054;e;19402;e
Slovakia;149;e;249;e;-100;e;9434;e;8223;e;1211;e;9583;e;8472;e;1111;e
Sweden;718;e;2178;e;-1460;e;2538;e;2331;e;207;e;3256;e;4509;e;-1253;e
Spain;6944;e;8991;e;-2047;e;8571;e;8132;e;439;e;15515;e;17123;e;-1608;e
Czechia;677;e;952;e;-275;e;6778;e;5684;e;1094;e;7455;e;6636;e;819;e
Hungary;717;e;1028;e;-311;e;22163;e;16704;e;5459;e;22880;e;17732;e;5148;e
Cyprus;161;e;145;e;16;e;167;e;133;e;34;e;328;e;278;e;50;e
2008;;;;;;;;;;;;;;;;;;
Belgium;1995;e;2608;e;-613;e;2433;e;2473;e;-40;e;4428;e;5081;e;-653;e
Bulgaria;207;e;283;e;-76;e;23627;e;15581;e;8046;e;23834;e;15864;e;7970;e
Denmark;754;e;2208;e;-1454;e;2277;e;2341;e;-64;e;3031;e;4549;e;-1518;e
Estonia;46;e;103;e;-57;e;601;e;671;e;-70;e;647;e;774;e;-127;e
Finland;217;e;461;e;-244;e;1829;e;2024;e;-195;e;2046;e;2485;e;-439;e
France;5844;e;7988;e;-2144;e;13928;e;13558;e;370;e;19772;e;21546;e;-1774;e
Croatia;267;e;544;e;-277;e;8418;e;11556;e;-3138;e;8685;e;12100;e;-3415;e
Slovenia;72;e;224;e;-152;e;1226;e;1676;e;-450;e;1298;e;1900;e;-602;e
Greece;860;e;1543;e;-683;e;8302;e;15994;e;-7692;e;9162;e;17537;e;-8375;e
Ireland;954;e;1363;e;-409;e;1215;e;1366;e;-151;e;2169;e;2729;e;-560;e
Italy;2640;e;3645;e;-1005;e;19809;e;24674;e;-4865;e;22449;e;28319;e;-5870;e
Latvia;66;e;116;e;-50;e;1996;e;1653;e;343;e;2062;e;1769;e;293;e
Lithuania;128;e;132;e;-4;e;3326;e;2965;e;361;e;3454;e;3097;e;357;e
Luxembourg;701;e;953;e;-252;e;2757;e;1383;e;1374;e;3458;e;2336;e;1122;e
Malta;53;e;110;e;-57;e;80;e;84;e;-4;e;133;e;194;e;-61;e
Netherlands;2950;e;4282;e;-1332;e;11443;e;7503;e;3940;e;14393;e;11785;e;2608;e
